,author,content,sentiment
21495,edwardli,Back to work today but I don't even mind.,worry
12037,dshep04,@Harley_Dude @helloo_kitty @morninglory well aren't you just absolutely special. Haha special ed. I think I've received no new followers,fun
26151,AprilAMiller,@msegers Thanks! Good morning,neutral
5245,macshorty213,@Smilystace i am so sorry,worry
1715,jasonxcore,"i really don't want to go to the eisteddfod concert tonight, it would be ok if i didnt have to wear the dumb band uniform",neutral
25889,racerx544,"@dfelteau then how come I'm not uber successful?  I'm not making the same mistakes, I'm making entirely new ones!",relief
32822,Gypsy_Ria,"Birthday was awesome!On video:my daughter opening last gift screaming in joy, &quot;My  Birthday Wish Came True !!&quot;couldn't have been better.",happiness
33895,mariusoczon,@irenedepp that includes YOU.,neutral
33843,TajaSeville,@nathanschultze haha. that's awesome. good job,happiness
12880,xxnicky,"that little girl on BGT  omggg, how can people not feel sorry for her?",surprise
30181,a_r_m_e_n_t_a,just came back from the mall,neutral
18760,ablissinproof,@Crimsondreamer no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren't you?  SOPROUDOFYOU.,sadness
22798,cel_xox,"@DHughesy no your not  they are very cute, how you going being a daddy?",surprise
5220,mariahsyrett,TGIF. I don't feel good.,worry
11935,gabrielavalente,"@zacofficial  i don't have twitter on my phone, it's sad",sadness
29453,mnmland,Waiting the next release,neutral
21978,Lunabee_art,@MrFloydNL  tis very useful indeed esp. for newbies like me!,neutral
795,Melissataylor15,"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha",love
581,harempriestess,"@dravenreborn yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",worry
2157,uaoh,"Because twitter is about being an attention whore: meet new haircut, same as the old one: http://u.nu/8748 She refused to cut a fringe",neutral
5673,delfinamizerska,i feel like crap right now and i have one more month of school left  FML HARD,worry
11592,PKSS7,"@djkaton I feel your pain man, people say it's really good but I don't have the money to waste on a PS3",neutral
19454,stephaniedemar,@bwexxx  i hope you hoes are having so much fun...not TOO much without me though lol,worry
26405,Heamamabama,@peacePEACEout I totally did go! and he was AMAZING. He's is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,happiness
21399,katjrobertson,- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning.,happiness
33379,missyosigirl,"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",worry
31127,SwankySanctuary,@TexasGarabedian I'm seeing LOTS of SOLD signs,surprise
5417,riahpf,@DaveJMatthews concert tonight at fenwayyy! hopefully the rain stops,happiness
6445,amolamo1980,@lexie_98 Kevin can't leave work until 2,sadness
13701,cameronolivier,"@TimothyTheron hmm sorry, I went mia there",worry
23986,mireillie,ya i walked into the wall thats why i have a plaster on my neck,neutral
26823,KBWills,"The WHITE DICE are coming into the studio this eve 6-7pm, on 1386AM Radio City",neutral
11405,LedZepeatles,Saying good bye to ronald today was difficult and sad well miss yuu!,sadness
5145,lynnychien,"i dislike math, but math HATES me",boredom
16231,Kbury,I have ants in my apartment,worry
16134,heyy_kendall,"I don't have MTV,@mtschopp. What am I going to DO?!! fmlllll",neutral
20057,LinnetBirdie,"Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!",happiness
971,liangtfm,Bah I don't think @bing's FB fan page will get to 7500,surprise
892,iphonetalktoday,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR,neutral
13373,LPThePharaoh,@EmeraldAshlee yea he said brooke's gonna come over to record today!  @CHANiCEDEVONNE!,worry
35917,curbsid3,"@TomFelton Haha! What's it like looking back on work? Or fun, as I'm sure it was",happiness
37321,sergionigga,and before i crash Grilled Chicken breast w/ reefried beans  Gnite Twitties,neutral
32020,iceanimator,Today is Mother's Day  Am going to Grandma place. Boring. Haha! but yay! erm ok make no sense w/e but wee!,neutral
31951,lazy_vLF,Chillin Waitin For My Hunny Baby To Get Out Of Work!!!!!  To Get My Drink On While Finishin Da Song I Have,worry
26357,imsoolynn,Biology final today. Then home to prepare for psychology.,neutral
39902,walski,It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!,worry
4953,Dutchshe,@lishreece She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don't find her very perfect now.,hate
38473,red_ambert,Happy Mother's day to all mothers including mom-to-be and moms of 4 legged kids,neutral
39155,iOriana,I can Rome without Ceasar,fun
22610,plasmaegg,Watching some vintage topgear,neutral
35800,lyssamia,"@jessicasydney i did, haha. i'll run is more suitable, at the moment.",enthusiasm
13639,rachealhekking,@jeremydurden I really miss you right now,sadness
4612,elizacrunk,Woke up early! Still sick,worry
25571,SiidFLY,#juddday,neutral
38400,andykoom,Yay Happy Mother's Day  #fb,love
36166,DannysGhirl,@RetroRewind hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,enthusiasm
28784,adamriggins,@addieking it was amazing,surprise
30752,WalkingHorse,@Strabismus I try to ignore..just noticing new M.O.'s . I LOVE Sonic drinks. Cherry limeade mmm,sadness
29121,Arch_Rival,@PackFM not if i'm not on the list,neutral
39405,voxena,Mothers day isnt until the 31th here in sweden.But thnx for the pm's,worry
27525,sumants,@udupendra I'll keep that in mind when he gets tonked for 40 off his 4 overs.,enthusiasm
39674,casey_kent,Hey mates. I just came home from the beach.  I'm hella tired. It was a 4-hour ride.,happiness
1220,Joshuah_Pearson,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy,neutral
31633,curlymamaw,curlymamaw @Paul_Colman  thought you'd like it ! 9,love
30854,JenniferJackass,haha i just watch a funny ass video on youtube  made my day,happiness
37931,JuannyBear,Still awake lol Finished talking to a really good Brawl player. We talking in SmashSpace.ning.com  Join the website if you like SSBB!,fun
38268,metamatik,"@Exirel It's on today's menu, don't worry",neutral
22933,lorentzons,I just eat a reallyyy good ice cream!,happiness
10160,TheBudgeBunch,@Totally_Toni   i'm having one of those days today also,sadness
6011,MissKnowItAll82,@NerdAtCoolTable what's the name of the mixtape? My mixtape connect moved to texas so I gotta find a new guy,neutral
14277,19fischi75,"@Impala_Guy Yeah unfortunately  The flight is most expensive.....the rest is not so bad - the flight is ca. USD 800 - 900,--",worry
9807,jasbonilla,and wtf at little 9 year old wanna be thugs? ugh why can't everyone just be friends and not in cliques like back in the old days,sadness
35943,rsuenaga,@joooo The rest of the week is less than 2.5 hours long,sadness
3125,MarinkadeJong,"4th time in 1 month that i'm spending time @garage, for a broken airco this time.... sigh, great with this weekends weather",sadness
31612,tweet_leigh,@amoonchilde  Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother's Day gift.,happiness
6977,lrnn,Had the hottest and stressiest day at work  f the area manager. So happy to be going home!,hate
19382,lojalita,"Bought some little plastic personal wine bottles at Jewel, perfect for rooftop boozin'! Wish I didn't have to wait so long!",fun
24126,keremsedef,waitin for dr dee.... had lunch with my beautiful lady  before that i was on the gym ... ( yeah need to loose 10 more  ),happiness
26031,mundiee,its castiel!!!!  [ the angle ],surprise
2264,Hengonz81,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs,enthusiasm
19570,singda0park,@AmyMonzon booooo  my senior yearbook sucks thanks for the memories bhs -___-,sadness
17053,mellllllymelmel,@AsheyPooh aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!,neutral
28434,rachelandersonx,"ahahah with sandy, bekz, erin and derrian",neutral
4831,manderpoo,@ Ahhhhh FML! Classic Crime is sold out!,neutral
142,cv70,what is it with chocolates? i just can never say no,neutral
17403,OneBigMistake,"@JohnHLynn Now it let me upload a pic, but I don't have one of myself in the PC",neutral
7267,PatrikBerggren,@ericworre say hello to Marina Green ... couldn't participate in Barcelona this weeken,fun
16502,KimTeaches,Back to marking,neutral
35695,nkotbgal21,@NKOTBSummertime Sweet i'm 5'3 so perfect for me,love
3179,just_00110111,I definitely feel sorry for Jamie Stewart... Amsterdam audience can really suck (www.xiuxiu.org and read his post of May 27th  ),worry
23654,leatherrose,Happy Star Wars Day!,happiness
30500,mystiquejewels,@DJSpencer19  true. i think its important 2 be sensitive 2 it when we relate 2 others. empathy. a reminder we cant judge a book by a cover,worry
4101,Twyst,"bf moves to the city tomorrow. Currently he lives down the st.  Sadness.  He will be far away  (not TOO far, but not down the street )",worry
19634,hollyalyxfinch,@totalgunner Ive twitpic-we him before so you might be able to find him LOL. Aw thats so sad!  ooh piranhas? Scary lol,worry
14092,jennb624,@sand67 so sad...sorry to hear that.  She was a sweet dog.,worry
24475,BiancaCullen,@katie_andhearts Fingers crossed,worry
36577,evAllTimeLow,'Allo there twitter  how are we today?,happiness
13763,swallow_elxsol,@travisjestes  never have good dreams like that.,worry
9414,rezarizki,Feelin a little blue tonight.. Love might be good,love
8425,_HarryKim,@Orion_Girl OOC sorry we keep missing each other...,sadness
22527,emzyjonas,@mcevoy1rachael yupp t's better than people being rude to her  x,worry
6070,xXRhiannon,has been playing Guitar hero to let of some steam..  you see.. Mr Unreliable has striked again!  not funny,relief
10468,FizzleW,@bellarina1983 i haven't got a text back!  sod her i looks fabulous!,surprise
2090,HollywoodMaxi,I need a present for my mom.  Could anybody help me ?!,neutral
5677,Lucypink,@143presents What time you close today? Is it the last day today or tmr? I may shed a tear,worry
33547,Cimarron42,"@Flawless326 Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",neutral
7051,acreativemuse,@Ceadda say it isn't so!,surprise
29064,Patrick7C,Congrats to Dave &amp; Anna! Surprise proposal at the Enzian Theater in Orlando  http://qik.com/video/1638824,happiness
20206,samanthapangkey,"@DavidArchie if you don't mind, change your profile pic with a picture of you in UK. It'll be fun",fun
3901,jasmineyql,Mad tired. But it's the hols! I miss chomp chomp terribly!,worry
18400,nicole744,@ladymaryann No news yet,worry
32996,RachelChingy,Aww okayy we'll tell you about it tomorrow then,sadness
26942,pmatty,@ash2good99 yay were all saved! Weve overcome god again!,relief
19966,manoli,@ProctorsArm at least posada had a good ab,sadness
35793,demonick,@nikicheong try installing Twibble which is a Java based app that should work on most phones,neutral
12538,orplasmic,@lvlyfairygrl i would say no bc its so overcast  but if it gets sunny again then yes!,happiness
15757,ang_miller,@megbc OMG!!!!! 17???? wow. I'm the old one...,fun
39324,PembsDave,@RedMummy Good Morning  Hows u ?,neutral
39657,lonnie101,follow me!,enthusiasm
5628,calz88,@JoSH_SHeP  nope   i really want to play it aswell,neutral
6234,CountryKTKnits,"is enjoying a yummy salad, but missing her avocado  that's what happens when your husband does the grocery shop.",sadness
9625,eelliott,@chicodebarge I guess you're responding to me about DC. If that's the case...,relief
21583,allantaylor4,In bed with 2 girls,neutral
36570,kiannabanks,@RealWizKhalifa courtney seems like a cool chick &amp; shes pretty,love
22600,TotallyM,@lollipop26 Love it! You look fabulous and it was so nice to learn something new about you,love
7534,Mattisrad11,yeaaaahh lunch but no food/money,worry
13931,JaySkillz,@MISSCOKASPLASH yay but you missed naptime,sadness
29082,tksb15,"@DirtyRose17  told you, you would sweep haha :-p",happiness
27379,abby320,excited about this week! trying to have a productive monday. trying. hard.,surprise
2141,lindamalm,"imissu, come back home now honey",worry
26738,dcccd,thanks for the props,happiness
23219,Daniellejx,Watching the hills  arghh i lovee itt ) makin r liam watch it with me haha... girls aloud in 15 Dayss cannot waitt too see cheryl x,love
33890,jadedoto,OH MY GOD STAR TREK WAS AWESOME AND I CANNOT WAIT TO SEE IT AGAIN AND AGAIN AND AGAIN. OH MY GOD. CHRIS PINE IS SMOKIN'!,worry
37600,jqrd,"@punnie I don't use it, but I heard that PowerShell is nice",happiness
13272,Julieeklein,Shelf from Ikea fell off the wall. damage done...about $78.95 worth. Or at least thats my estimate.,worry
37486,josephranseth,@C_DIG up late again I see?  You missed a great time at Donny's birthday... remember to call him on Monday!,worry
26023,twiter_twotter,I'm going to do my homework... bye!,neutral
35073,sparklerule,T9R8AM booked. im arriving medan on 27th june. 1155hours,fun
16906,JaZZiii,#whyareyoustillhere One Tree Hill!!! [[ They cancelled my shows The Game &amp; Everybody Hates Chris n dont NOBODY WATCH U N-E-MORE!!!  ]],hate
25861,DianasGarden,"is planning her week, its going to good, going to get a lot of stuff done",sadness
30317,pshimmallama,"I love these App things, it be hella awesome bro.",happiness
3383,Mz_Cutie,@DJIronik hmm....well it aint that hot in hull lol   xx,fun
33215,Vanessa_bby,good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,relief
38503,its_KateH,"is up, slightly later than planned... gunna get this essay done 2day!!",neutral
8370,Ms2good4ya,I am working like allways. i hope i have a good day havent talked to my Mr.Goofy in over 24hours so that cant possiabally be good,worry
25468,likealice,"@wanderinghope hehe, thanks! that had everyone in my class laughing too.",happiness
2435,xerulean,"Just finished The Village. So in love,could watch it over and over! Wonder why I can't get to sleep tonight",love
23774,carissaaanicole,goodmorning everyone,neutral
30506,dewata87,@Ethereal87 You should try it. It's the way of The Deena,neutral
23841,icecreamcoke,@ashhh_x Who Else do you Loveee?,neutral
8579,cherryblossom15,I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I'll make my own,boredom
28765,CamLaChixe,@PrinceSammie OMG its working,surprise
23346,Kelztar,I need a break... PFFF... Work Sucksss Will be in Myrtle Beach SC in 45 days...  things like that make me soooo happy woeiwoeiwoei,love
23773,Commsguy,"@nottheword yum, yum.  I love quesadillas....and wallpaper for that matter tooo",worry
38871,allierigby,http://twitpic.com/4wt8a - pretty damn good friday night,happiness
718,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind.",surprise
24902,totallybiannca,"@alllyy_ yes i know, gross, haha im better then them all",neutral
27524,bdicroce,@svickn G'morning! Good to know you're alive and well today!,happiness
10376,kaydeebird,i think i need a drink,worry
2789,mieeeek,Stayin over at dustins tonight... my car hates me!,worry
15968,tjinkerson,"@joyzaphine Ouch! Sunburn's bad! Hope it's not to sore on your bedding, that's always the problem.",worry
20185,Mrdeed,"Stoppped following ama, i really need a clean break... on another note, kate is being super nice right now  Off to work",neutral
26722,samithemonster,"Fuck im suppose to leave in 10 minutes, im naked, hair wet and no make up. Im going to look interesting today",worry
34649,cheekymaltesa10,watching the original sabrina the teenage witch movie. so different from the series but so rad,sadness
26384,AnyKeyGraphics,"Law of Attraction - Some assembly (action) required  If u have asked 2 enter medical school, u still need 2 fill out the application",empty
23372,TrishaMelissa,@dannykurily awww hope you get better,worry
13904,hollieh8988,@_Stephhh_ Awww  I heard he is the sweetest guy with fans.,happiness
6176,boogie_shoes,my blow torch has broken  this is a REAL bummer,sadness
38851,K_A_T_R_I_N_A,Fish and chips for din dins,neutral
6712,dreamer728,@tracybegins me too bb,neutral
26320,Elise_Smith,Eating a bagel  yummy,sadness
13911,sexidance,@oyfreakinvey rofl,neutral
34181,oPONOo,@tynie626 ah yet another good one!,neutral
16605,tweetieelovee,"@AndreaKoeln awww, im so sorry hun  im sure she didn't do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s",worry
27698,nakedbearmedia,"@bill_starr Yep, the Hawkesbury Classic starts at Windsor, home of said DJ",neutral
4659,DeeTenorio,@maya_banks &quot;Something must be wrong. Only found 17 July Harl/Sil books I wanted,worry
5568,rhjerseygirl,"gettn ready to take a trip to Jersey my dad's not doing so good, he needs a new heart~whoeva see's this please say a prayer for my dad",worry
20892,keokilee,"@sonwright I'm an iPhone owner, so I don't really have a choice on which media player I use. FYI Apple makes terrible Windows software",worry
5934,nataliexedge,Emoticons by Christian. &quot;  &quot; http://twitpic.com/66riq,neutral
20198,deadstockric,"@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me",happiness
38100,Minda_Zetlin,"Peter, the bar owner is working his way up to 1000 beers-all Belgian. Has coffin for drinkers of Mort Subite",love
32544,seoulfood12,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,happiness
7823,valeriepereira,@flattycharn i know the IMUx1000 is not referring to me... (WHO IS IT AH?) but... i miss you,happiness
16337,lavasusan,To @NEENZ I was going to reply to your &quot;what do ppl in HI do on the weekend&quot; post...and then I realized my top choice was work.,neutral
24626,aditisharma12,nice weather..looks like its going to rain here in # Delhi.,happiness
23359,julierockaholic,Threee WORDS . . . YOUTUBE BAMBOOZLE SHOW,fun
24176,XxYWIxX,@XLesseyX good and you cup cake,happiness
1598,tiggerwoods,Feeling bad that @muemerry didnt get to see UP,sadness
15291,Meckybay,my son got stung by a bug for the first time  his little finger is slightly swollen.,worry
38530,NetPLAYERapp,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",hate
27112,karenswim,"@MRHYPERPCS Thanks, but the Elance course is not mine! It's @trishlambert.",neutral
22088,mellaa__,Watching h&amp;a! Got new photos for myy room  Waiting for Ulise to get home.,neutral
26545,sharylsy18,roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,neutral
5971,emilyrpowell,Poor Nicole just absolutely DESTROYED her cell phone,worry
32708,Linneahw,@mahnameisjerik0 THANK YOU,happiness
20040,kridrules,Cleaning my room and listening to britney.,neutral
8779,jsikota,i want so bad to go to the mcfly's concert,sadness
23753,erickaxx,Is at a photoshoot.,neutral
33289,Songbird1988,is going to drink a mojito and lay down to watch movies with my hubby. Goodnight fellow tweeters,neutral
18036,MattiePepino,@gerardoudi hey Gerardo! (late response) that day i was talking bout forgiving my brother 4 givin me wrong directions! i got way to upset,neutral
30315,Snowblood_G,"@TraceyDukes Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she's my #1Fav. twitterer",neutral
2132,identigral,iTunes upgrade reset playcount to zero  How will I know which one of 143 Hasta Siempre versions I liked best?,worry
37480,natsnapper,@Thea_Smith glad the zoo was fun and you had a great mothers day hun,happiness
36026,mcmike337,@freddyfierce google away,hate
24249,hotrodsoftware,We expect One Man Band to be released sometime next week,empty
10042,salmaguer,"@Drob114 thanks for rubbing it in, jerk  where are you guys going this weekend?",worry
8240,amourirlandais,@tealshocked thats because im getting a new phone since my other phone dont work at all,surprise
9198,ElliotTucker,"@filos I'm thinking of a dawn shot of Carlingford Lough, the sun will be in the right place this time of year. involves an early rise tho",fun
10087,Miss_Nishie,I feel like I'm going to toss my cookies,sadness
16278,velmadaria,@bobbiepen LMAO!!! Man I was so bummed when she stopped braiding,sadness
23974,missgreens,http://twitpic.com/4jcjj - Boagsie actually is still this small lol - him at 4 years old,fun
38478,fan0sh,Love &quot;good girls go bad&quot;,love
24324,beezan,"@sswayze  thanks 4 the follow, Sean.",love
26563,jamiesjewels,getting ready for summy yummy cocoa crispies,happiness
33697,Crystaldove,love it when my sister brags! but she's too tired too spell bowling right! haha its ok I &lt;3 her!!,worry
8751,jamiesugah,@matty500 Congratulations! I wish I could be there to see it happen.,happiness
4051,airarowena,gotta go! bye twitterland!  good night! i'll try sleep. so that i will recover easily! still sick!  bye!,relief
26153,Sepulchura,@sunnysidesup @TJP5082 Is George still mending the car ?,neutral
27507,mamamammy,"@AlexWilliamson yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block 'em",worry
10458,Eddie_Entropy,The pentagram has rejected the offering,worry
9109,orlandojuice,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!,sadness
12705,SweetizChula,@decaydance --Nothing,sadness
9870,SarahGomes_x,Allies not coming over,relief
27246,nikitacrake,knows its all going to sort itself out,anger
27062,pauljessup,@BerinKinsman Does this happen every monday?,empty
1890,munineye,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.,neutral
7220,davidlucio,"I wish I could buy blink 182 presale tickets, but I totally don't have the money right now. Guess I have to wait for general admission...",worry
20509,ChineseLearn,@longnu Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,love
36347,AndreaBryan,@SelenaGomez selena's mom congratulations' have a nice day,happiness
29151,_chikkinana,Nyappy mother's day to your mom's.,worry
27804,Narciso17,"@laermer yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",happiness
33877,andyanda,"Yay, St. Mary's here I come",happiness
20675,itaggs,@prwebmobilenews Looking for a new SMS sending solution? http://promotion.itagg.com Get ï¿½6 FREE SMS with every iTAGG!,empty
22573,elmooo_,@rnfjonasstack damnnn. training starts  at 11. but that would have been cool. next timeee,neutral
34750,TDLQ,Alright gang. Gotta go park with family for an hour. Back then  Mwahs to yu if you head to bed before then,happiness
18378,unckeekee,AHHHHH I needa hurry up and shower before this &quot;HUGE&quot; storm hits,worry
8771,linzyw,"I want to go outside and play in the sunshine, but I have to sit in front of a computer all day   At least I can have lunch on the patio!",surprise
39505,chrissydokka,"maybe going to see the hannah montana movie todaaaay  i've seen it one time before, but can't wait to see it again!!",worry
32202,storylet,&quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke,neutral
13745,EmilyDeLapp,"Its official, I'm having the worst day. I called it a mile away",sadness
2917,claudiatweets,@joyeuxmort Miss you too  tomorrow is friday...the day we usually just lounged around trying to figure out what to do,neutral
23505,isobel_laughed,@iamkryssa twitter does not suck missy love you,love
38333,shmuxel,"@JasonBradbury - Yes, you are addicted - half my twitter friend updates are yours",neutral
24238,OhhStephaniee,heading off to schoool. going to have a good day. i just knoww...,happiness
2864,Mariine90,"Tuesday, Wednesday, Thursday and Friday = EXAM !!  wow shit",worry
8483,annamara,Got Firefox working again. Now I just have to get back all of my bookmarks...,worry
8332,AMF7,.@orbitaldiamonds I want all the soldiers to come home so we don't have to hear about anymore being killed.,worry
37248,feistyfrogg,can't believe the weekend is over already!  Where does the time go?  Had a nice day with the fam. today.  Mum had a good day too.,sadness
2444,lover626,Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry,sadness
4794,alan_martinez,Today is going to be a long day.,neutral
33133,deaninwaukesha,@chrisfromracine That's for sure. That's why I intentionally turn my thought processes to the silly,surprise
2390,RopeMarksMuse,"At work   leave for Berlin at 17:00 by car, will be a late arrival",enthusiasm
23141,peaceNlove102,Going to bed  how's ever reading this,worry
26678,staceyrosenbaum,Starting class. Today we start MediSoft.,neutral
36956,alpilo320,@markman641 HAPPY MOTHERS DAY MARK,happiness
23887,JuiceMy,@joonian Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,enthusiasm
23233,Aimeelee19,"is going to have a relaxing, hot bath  goodnight for now then twits, &amp; dont worry andy i love you more than twitter hehe",love
5221,Trezzay,"@lurkey hahaha chivalry's not dead, just rare",happiness
25415,_thefabulousone,Watching good morning america,neutral
26403,IE18,@Krownz We keep very different hours.,neutral
16699,yikesitslinda,i feel sick  thanks band kids.,neutral
37840,snailbite,learnt how to drive a manual on the weekend,neutral
10126,bertopro,I feel like I have to throw up.,boredom
32185,KyutaSyuko,@KatieCeciil of course,empty
25701,klrogers,@bradleyspitzer that's called dedication!,relief
39204,marypascoe,"@urfavoritegrl i'm sure you're sleeping, but you'll have to tell me your favorite part tomorrow. i laughed pretty much the whole time.",happiness
18798,Chucksville,"Am I old? Pub kickin out time is whey too late, I'm stinkered:-/. Got the cubs tomorrow too  I'm gonna suffer !",sadness
23433,christiemaine,@krissy_tina @_adriii guys  i am literally going to sydney in the june/july hols. can we meet? i wanna try one of those lindt cafes!,happiness
705,jgomez89,"@hiracdelest who's the one always working now?  oh yeah, still me.",happiness
2146,cathking,@grum have you seen who's knocked you off top spot on wefollow for #perth?,neutral
1066,chris_sponge,those workmen extending R block can't start this early surely.. its 7:45am and already they're making a racket and woken me up!,empty
3570,Nad_d,i am living in ignorance  :@,sadness
21511,sarahmartin1995,11 days till county raly  i had 2 tak 3 from 14 it took me a while,happiness
9324,Iliana_jacquez,@mraeannon thank u!! I know I'll miss u too  Ill take pics as soon as I get there I need your email txt it to me or something,sadness
3176,Angelavdvlist,"29 mei, missing my dad for over a year now",worry
37937,lia11,@dougiemcfly hey cant wait 4 u guys 2 come over 2 jersey woop.... hope ur lookin 4ward 2 it coz we r  x,happiness
34342,PamehluhhYO,Christian doesn't have a Twitter...But he has a cell phone  Hahah..I'm bored.,worry
35684,Nakarumi,We in bed now.,neutral
22876,DragonI,"Buffett Lambastes Bankers, Insurers for ï¿½Greed,ï¿½ ï¿½Stupidityï¿½ http://is.gd/wyAB",hate
18275,dialsoap,@caramp lol you saw where I was going with that...both of my last names are to common nothing special on me,fun
31101,AmandaPaigeW,@alidg take me with you!!!  Have fun!,happiness
616,Rahchichi,In 1 horse town + 2 blown out car speakers =,neutral
17965,abhidevaraj,I just realized the reason why I am so sad today is because it's reeeeally gloomy outside,worry
1972,Ruthiexo09,Aww sad @Ruthiexo09 now  stupid crapped up phone and deciding that you would go and screw yourself up and never again work arghhh,worry
25869,steffzz,@chantalicious THANKS,love
1523,sheeeeeeeeeeeep,@jessereed did u watch the day the earth stood still? did u not see my bye when u got d/c...  im sad i left 2 and now ur gone  ily&lt;333,sadness
31282,AncientSoul,@Pamluther I'd like to put your fruity article on my website if you'll permit,happiness
7757,megook1019,Day is going well so far. Meeting until 4 though.,happiness
37280,TheAshleyGreene,@stephyanime Yeah,neutral
12737,ronreddog,@MashUpNicole I still have an hour.,neutral
13985,Factory_Boi,wants a new phone. ugh my b-day in 3 weeks ya'll,fun
31147,romeoescuyos,says happy mothers day to all mothers everywhere!  http://plurk.com/p/stz7a,surprise
27830,cangahuala,@sassyotaku enjoy NOLA definitely one of my favorite cities in the world. Please have a beignet with chocolate for me,happiness
223,chrisshennan,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,surprise
37541,krslm,"@rixx03 How sweet, heart to heart talk with mom!",love
30053,pattywuu,@rsxy ive been spending time w/my momma! we're celebrating mother's day for her early  ive been good! how was woodburn?,relief
18851,brianbain,too sick for rigging tomorrow.,anger
17708,JessaBoBessa,@markymark7 Omg really??  I sowwy! I'll do it again! :-p I was tired when I did that this morning. :-p lol!,worry
3246,Lieszl,preparing for my spanish.. BAAAAAAAAAAH,hate
18683,JessILeeIsMe,back home from shopping. putting stuff away and waiting for nets friend to come over. I guess I'll have to put my pants back on,worry
14276,brokenangel615,"twitter,facebook,myspace...no phone still",neutral
23597,josiewalker,@stillsafe Lol read me like a book,fun
33286,jeanninesioco,@glammyts happy mum's day to ur mom  say you're from the philippines too?,love
26768,brookeycakes,@impaulgriffiths pauly wallly ! you made my life fucking happy as hell and i love you x3 you should reply back to me,happiness
14993,bboysolo,has some bad newss,worry
33936,sagpig,@SlainwithSatan glad he's leavin' got ALL my expensv shit outta his way...did i mention glad he's leavin'? *bust empty beer bttl on head,fun
2798,trashbandit,wishing my days off were the same days that people wanted to party.,worry
26744,Frassington,@deversum I've gotta watch out for those stealth skillz! I always forget.,fun
10814,99naynay99,going to work,neutral
22847,harisn,@AdeelAhmad Rofl u did?  Hahaha! Lemme tell Salman Munir =P =P,fun
35875,MKeenan85,happy mother's day,neutral
20357,sharonmcl,Heading out to do a relay in the Belfast marathon,neutral
26995,aeiko_,im feeling the burn of the last 4 days..gonna chill play xbox and watch stuff all day,worry
18117,LauraA22,LauraA22is missing the fun she had with @Sylars_Army at Eclipse 3  #SArmy #SArmy #SArmy,fun
880,At3f3h,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,neutral
10783,lovely_sarah,@dangzombies Yeah I kept rethinking it because noone that I knew would want to go with me lol. So I ended up just didn't buy them.,relief
27371,krystals,@extremejohn @FLallday @hursty810 Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,happiness
4361,SherriMcKnight,@dsfq Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well. Past 2 days set is back too far.,surprise
2710,TaratheDiva,I think i should go to sleep considering i hav to b up on 3hrs....,worry
